
dispatcher.py:551 #INFO     [2023-11-11 14:18:21,645] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 14:18:21,645] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:524 #INFO     [2023-11-11 16:02:44,736] - aiogram.dispatcher - Start polling
dispatcher.py:340 #INFO     [2023-11-11 16:02:44,795] - aiogram.dispatcher - Run polling for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:171 #INFO     [2023-11-11 16:02:52,313] - aiogram.event - Update id=904633962 is handled. Duration 234 ms by bot id=6679520238
dispatcher.py:171 #INFO     [2023-11-11 16:03:44,044] - aiogram.event - Update id=904633963 is handled. Duration 171 ms by bot id=6679520238
dispatcher.py:551 #INFO     [2023-11-11 16:03:51,386] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 16:03:51,387] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:524 #INFO     [2023-11-11 16:04:08,393] - aiogram.dispatcher - Start polling
dispatcher.py:340 #INFO     [2023-11-11 16:04:08,443] - aiogram.dispatcher - Run polling for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:171 #INFO     [2023-11-11 16:04:08,879] - aiogram.event - Update id=904633964 is handled. Duration 282 ms by bot id=6679520238
dispatcher.py:551 #INFO     [2023-11-11 16:06:45,109] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 16:06:45,109] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:524 #INFO     [2023-11-11 16:07:36,040] - aiogram.dispatcher - Start polling
dispatcher.py:340 #INFO     [2023-11-11 16:07:36,103] - aiogram.dispatcher - Run polling for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:171 #INFO     [2023-11-11 16:07:37,613] - aiogram.event - Update id=904633965 is handled. Duration 234 ms by bot id=6679520238
dispatcher.py:171 #INFO     [2023-11-11 16:07:40,412] - aiogram.event - Update id=904633966 is handled. Duration 155 ms by bot id=6679520238
dispatcher.py:551 #INFO     [2023-11-11 16:08:51,922] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 16:08:51,922] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:524 #INFO     [2023-11-11 16:08:55,593] - aiogram.dispatcher - Start polling
dispatcher.py:340 #INFO     [2023-11-11 16:08:55,643] - aiogram.dispatcher - Run polling for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:171 #INFO     [2023-11-11 16:08:57,157] - aiogram.event - Update id=904633967 is handled. Duration 250 ms by bot id=6679520238
dispatcher.py:551 #INFO     [2023-11-11 16:14:42,238] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 16:14:42,238] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:524 #INFO     [2023-11-11 16:14:45,780] - aiogram.dispatcher - Start polling
dispatcher.py:340 #INFO     [2023-11-11 16:14:45,830] - aiogram.dispatcher - Run polling for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
dispatcher.py:171 #INFO     [2023-11-11 16:14:53,611] - aiogram.event - Update id=904633968 is handled. Duration 250 ms by bot id=6679520238
dispatcher.py:171 #INFO     [2023-11-11 16:14:57,266] - aiogram.event - Update id=904633969 is handled. Duration 218 ms by bot id=6679520238
dispatcher.py:171 #INFO     [2023-11-11 16:14:59,127] - aiogram.event - Update id=904633970 is handled. Duration 110 ms by bot id=6679520238
dispatcher.py:551 #INFO     [2023-11-11 16:15:20,088] - aiogram.dispatcher - Polling stopped
dispatcher.py:356 #INFO     [2023-11-11 16:15:20,088] - aiogram.dispatcher - Polling stopped for bot @For_test_test_test_bot id=6679520238 - 'Test stand bot'
